,Ticker,Open,High,Low,Close,Volume,Change,ChangePercent,Type,MarketCap,SharesFloat,SharesOutstanding,SharesShort,SharesShortRatio,SharesShortPercentOfFloat,SharesInsidersPercent,SharesInstitutionsPercent,Beta,TotalAssets,NAV,Date
2039,HDS,42.59,43.285,42.59,42.89,643359.0,0.84000015,0.019976223,EQUITY,6956071424.0,160480765.0,162184000.0,3049520.0,2.48,0.0254,0.008,1.01561,1.162344,,,2020-11-05
2040,HE,33.77,33.875,33.05,33.05,300496.0,-0.44000244,-0.013138321,EQUITY,3608431872.0,107756310.0,109181000.0,2377334.0,5.97,0.025,0.00984,0.54343,0.116121,,,2020-11-05
2041,HEAR,21.72,22.45,19.04,20.73,1438046.0,-0.2800007,-0.013327019,EQUITY,302550208.0,14307388.0,14594800.0,2214314.0,5.57,0.15560001,0.07384,0.62025,2.111612,,,2020-11-05
2042,HEBT,13.19,13.77,13.19,13.77,24622.0,0.59000015,0.044764806,EQUITY,349715328.0,7013878.0,17618500.0,767789.0,27.61,0.0788,0.60731,0.06266,1.090155,,,2020-11-05
2043,HEES,21.94,23.05,21.94,22.58,158043.0,0.9300003,0.042956136,EQUITY,815018304.0,31324951.0,36094700.0,917236.0,3.0,0.0287,0.11735,0.74022,2.382187,,,2020-11-05
2044,HEI,113.44,114.9499,113.37,114.04,292704.0,0.8199997,0.0072425334,EQUITY,14286703616.0,115830925.0,54189200.0,1907060.0,5.16,0.0428,0.22483999,0.73864,1.141488,,,2020-11-05
2045,HEI-A,100.0,101.19,99.29,99.75,203179.0,0.08000183,0.0008026671,EQUITY,14195422208.0,115830925.0,80753696.0,1899697.0,7.32,0.0273,0.09916,0.86393,1.141488,,,2020-11-05
2046,HELE,204.17,211.65,204.17,208.18,179039.0,3.869995,0.01894178,EQUITY,5278049792.0,25174521.0,25353300.0,2304133.0,8.73,0.1039,0.0069999998,1.05379,0.96956,,,2020-11-05
2047,HEP,10.95,11.35,10.7413,11.11,187572.0,0.18999958,0.01739923,EQUITY,1171438336.0,39070866.0,105440000.0,943376.0,3.36,0.020599999,0.56785,0.32789,1.05806,,,2020-11-05
2048,HEQ,10.14,10.25,10.14,10.21,87519.0,0.13000011,0.012896837,EQUITY,124805000.0,,12223800.0,,,,0.00105,0.39541999,,,,2020-11-05
2049,HES,37.22,38.3313,36.96,37.0,1290873.0,-0.22000122,-0.0059108334,EQUITY,11364328448.0,277711650.0,307144000.0,9046077.0,3.55,0.0444,0.108789995,0.87539,2.223788,,,2020-11-05
2050,HESM,16.13,16.445,15.99,16.1,84185.0,-0.02999878,-0.0018598129,EQUITY,290255648.0,17474478.0,18028300.0,633966.0,5.79,0.0506,0.39067,0.72025,2.494831,,,2020-11-05
2051,HEXO,0.66,0.7398,0.6505,0.7255,22502954.0,0.10589999,0.1709167,EQUITY,351073792.0,400535056.0,483444992.0,14580590.0,2.33,,0.03427,0.1174,,,,2020-11-05
2052,HFC,18.87,19.7,18.5,18.67,3011503.0,-0.059999466,-0.0032033885,EQUITY,3024820224.0,159879477.0,162015008.0,10066274.0,4.08,0.070199996,0.00828,0.88733,1.746335,,,2020-11-05
2053,HFFG,6.73,6.9833,6.73,6.94,51113.0,0.19000006,0.028148158,EQUITY,360276224.0,33410406.0,51913000.0,3334156.0,24.48,0.0953,0.27534,0.13977,1.769676,,,2020-11-05
