Symbol,Date,Open,High,Low,Close,Volume
DVCQ,18-Sep-2020,126.06,2780.65,126.06,2780.65,0
DVCS,18-Sep-2020,38.28,499.73,38.28,499.72,0
DVCT,18-Sep-2020,301.88,7861.65,301.88,7861.65,0
DVCU,18-Sep-2020,274.68,3426.92,274.68,3011.36,0
DVCV,18-Sep-2020,4.38,101.52,4.38,100.5,0
DVCX,18-Sep-2020,44.2,628.45,44.2,628.45,0
DVS,18-Sep-2020,135.4,135.9,135.4,135.9,0
DWCB,18-Sep-2020,3987.42,4013.3,3958.22,3976.32,0
DXY,18-Sep-2020,92.89,93.01,92.76,92.99,0
ESFD,18-Sep-2020,47.41,49.67,22.9,28.8,0
ESFI,18-Sep-2020,57.09,57.09,49.03,50.16,0
ESOF,18-Sep-2020,71.61,71.61,65.8,66.66,0
ESOH,18-Sep-2020,77.74,77.74,70.64,71.84,0
ESTH,18-Sep-2020,61.29,61.29,57.09,57.92,0
ESTW,18-Sep-2020,49.67,49.67,34.83,35.92,0
EVZ,18-Sep-2020,7.35,7.42,6.99,7.21,0
FBV,18-Sep-2020,23.57,23.62,23.57,23.57,0
FVX,18-Sep-2020,0.26,0.28,0.26,0.27,0
GLD,18-Sep-2020,1943.86,1959.31,1943.75,1949.65,288951
GMI,18-Sep-2020,42.15,42.55,41.49,41.5,0
GNX,18-Sep-2020,356.23,359.11,354.09,358.03,0
GVZ,18-Sep-2020,19.95,21.1,19.57,20.22,0
HGX,18-Sep-2020,381.33,384.14,374.56,377.33,0
HIGA,18-Sep-2020,2,2,2,2,0
HIGC,18-Sep-2020,1,1,1,1,0
HIGD,18-Sep-2020,0.01,0.01,0.01,0.01,0
HIGE,18-Sep-2020,19,19,19,19,0
HIGN,18-Sep-2020,36,36,36,36,0
HIGQ,18-Sep-2020,60,60,60,60,0
HIGS,18-Sep-2020,19,19,19,19,0
HIGU,18-Sep-2020,141,141,141,141,0
HIGV,18-Sep-2020,3,3,3,3,0
HUI,18-Sep-2020,350.77,353.07,342.84,342.84,0
HVX,18-Sep-2020,101.16,102.11,100.37,100.84,0
IDX,18-Sep-2020,1893.12,1895.85,1852.09,1865.86,1145957000
INDS,18-Sep-2020,8625.07,8627.65,8369.61,8499.93,0
INSR,18-Sep-2020,8928.14,8981.53,8820.82,8836.57,0
IQX,18-Sep-2020,4497.87,4503.81,4421.81,4446.15,0
IQZ,18-Sep-2020,10660.65,10685.24,10431.3,10518.6,0
IRX,18-Sep-2020,0.08,0.08,0.07,0.08,0
IVX,18-Sep-2020,1133.25,1137.46,1121.24,1126.56,0
IXB,18-Sep-2020,703.94,706.13,692.77,693.41,0
IXCO,18-Sep-2020,7546.96,7553.7,7280.53,7385.9,0
IXE,18-Sep-2020,349.49,351.11,343.71,347.17,0
IXF,18-Sep-2020,4438.29,4442.93,4373.11,4384.21,0
IXHC,18-Sep-2020,1044.29,1046.2,1022.57,1040.93,0
IXI,18-Sep-2020,797.72,805.06,790.5,791.01,0
IXM,18-Sep-2020,302.98,305.72,302.26,302.74,0
IXR,18-Sep-2020,643.34,645.91,633.93,638.11,0
IXTC,18-Sep-2020,411.53,411.94,401.2,406.87,0
IXU,18-Sep-2020,597.9,598.98,587.05,588.1,0
IXV,18-Sep-2020,1064.1,1069.93,1053.68,1063.34,0
IXY,18-Sep-2020,1472.6,1476.12,1438.77,1451.73,0
JX,18-Sep-2020,744.29,746.82,740.98,745.37,110916000
KDX,18-Sep-2020,80.19,80.38,79.37,79.78,0
KIX,18-Sep-2020,250.25,252.6,249.61,249.73,0
KLX,18-Sep-2020,32.77,33.35,32.52,32.54,0
KPX,18-Sep-2020,645.84,650.73,640.59,641.53,0
KRX,18-Sep-2020,68.12,68.12,66.89,67.18,0
KSX,18-Sep-2020,365.92,367.72,363.21,364.68,0
KYX,18-Sep-2020,48.31,48.31,46.88,46.99,0
LOWA,18-Sep-2020,0.01,0.01,0.01,0.01,0
LOWC,18-Sep-2020,0.01,0.01,0.01,0.01,0
LOWD,18-Sep-2020,0.01,0.01,0.01,0.01,0
LOWE,18-Sep-2020,3,3,3,3,0
LOWN,18-Sep-2020,14,14,14,14,0
LOWQ,18-Sep-2020,10,10,10,10,0
LOWS,18-Sep-2020,4,4,4,4,0
LOWU,18-Sep-2020,73,73,73,73,0
LOWV,18-Sep-2020,0.01,0.01,0.01,0.01,0
M1DA,18-Sep-2020,-5,-5,-5,-5,18800
M1DB,18-Sep-2020,10,10,10,10,2800
M1DC,18-Sep-2020,-50,-50,-50,-50,196100
M1DE,18-Sep-2020,-152,-152,-152,-152,184500
M1DF,18-Sep-2020,-5,-5,-5,-5,6000
M1DG,18-Sep-2020,-91,-91,-91,-91,98500
M1DH,18-Sep-2020,-118,-118,-118,-118,364900
M1DI,18-Sep-2020,4,4,4,4,7300
M1DJ,18-Sep-2020,-10,-10,-10,-10,2800
M1DK,18-Sep-2020,-9,-9,-9,-9,7100
M1DL,18-Sep-2020,-32,-32,-32,-32,301100
M1DM,18-Sep-2020,-12,-12,-12,-12,3300
M1DN,18-Sep-2020,-95,-95,-95,-95,189800
M1DO,18-Sep-2020,-16,-16,-16,-16,10000
M1DP,18-Sep-2020,-42,-42,-42,-42,49800
M1DQ,18-Sep-2020,-50,-50,-50,-50,269100
M1DR,18-Sep-2020,-4,-4,-4,-4,3100
M1DS,18-Sep-2020,-6,-6,-6,-6,6200
M1DT,18-Sep-2020,0.01,0.01,0.01,0.01,2600
M1DU,18-Sep-2020,-14,-14,-14,-14,248500
M1DV,18-Sep-2020,-136,-136,-136,-136,417500
M1DW,18-Sep-2020,-5,-5,-5,-5,2500
M1DX,18-Sep-2020,-150,-150,-150,-150,477700
M1DY,18-Sep-2020,-5,-5,-5,-5,6100
M1DZ,18-Sep-2020,-161,-161,-161,-161,276400
M1HA,18-Sep-2020,17,17,17,17,18800
M1HB,18-Sep-2020,10,10,10,10,2800
M1HC,18-Sep-2020,264,264,264,264,196100
M1HE,18-Sep-2020,85,85,85,85,184500
M1HF,18-Sep-2020,3,3,3,3,6000
M1HG,18-Sep-2020,78,78,78,78,98500
M1HH,18-Sep-2020,365,365,365,365,364900
M1HI,18-Sep-2020,8,8,8,8,7300
M1HJ,18-Sep-2020,1,1,1,1,2800
M1HK,18-Sep-2020,3,3,3,3,7100
