Symbol,Date,Open,High,Low,Close,Volume
EMX,20-Aug-2020,2.78,2.81,2.67,2.78,330300
ENFR,20-Aug-2020,14.4,14.47,14.31,14.41,32500
ENOR,20-Aug-2020,21.76,21.98,21.6955,21.91,29500
ENSV,20-Aug-2020,0.15,0.1565,0.145,0.15,1935500
ENTR,20-Aug-2020,23.87,24.1,23.87,24.0983,1900
ENX,20-Aug-2020,11.9,12.06,11.9,12.06,49000
EPHE,20-Aug-2020,27.04,27.38,26.8136,27.14,85900
EPI,20-Aug-2020,23,23.36,22.98,23.3,1255500
EPM,20-Aug-2020,2.8,2.83,2.76,2.79,57600
EPOL,20-Aug-2020,18.16,18.42,18.1,18.39,96800
EPP,20-Aug-2020,41.6,42.06,41.58,42,350800
EPRF,20-Aug-2020,24.61,24.64,24.46,24.5,100100
EPS,20-Aug-2020,35.63,35.88,35.5,35.8571,13000
EPU,20-Aug-2020,30.69,31.01,30.69,30.9608,9700
EPV,20-Aug-2020,22.07,22.21,21.6338,21.6402,8100
EQAL,20-Aug-2020,33.01,33.1412,33.0001,33.04,34700
EQL,20-Aug-2020,78.03,78.335,78.03,78.3287,17000
EQWL,20-Aug-2020,60.3571,60.3571,60.3571,60.3571,200
EQX,20-Aug-2020,13.18,13.44,13.03,13.27,1657200
ERC,20-Aug-2020,11.45,11.46,11.43,11.46,26000
ERH,20-Aug-2020,12.74,12.7737,12.5701,12.5887,21600
ERM,20-Aug-2020,17.9,17.9,17.86,17.89,2600
ERSX,20-Aug-2020,18.7545,18.7545,18.7545,18.7545,100
ERUS,20-Aug-2020,35.92,36.079,35.61,35.97,87400
ERX,20-Aug-2020,13.8,13.95,13.57,13.58,3194700
ERY,20-Aug-2020,50.38,51.2,49.89,51.18,223400
ESBA,20-Aug-2020,6.15,6.22,6.1406,6.2,4400
ESCR,20-Aug-2020,22.7111,22.7111,22.7111,22.7111,0
ESEB,20-Aug-2020,22.27,22.3443,22.27,22.3443,1000
ESG,20-Aug-2020,81.54,82.28,81.54,82.2725,2100
ESGA,20-Aug-2020,42.55,42.7392,42.55,42.7392,5600
ESGG,20-Aug-2020,110.235,111.7649,110.235,111.7649,18900
ESGN,20-Aug-2020,22.26,22.33,22.26,22.33,100
ESGS,20-Aug-2020,25.8179,25.8179,25.8179,25.8179,100
ESGV,20-Aug-2020,61.72,62.3,61.563,62.24,96200
ESHY,20-Aug-2020,20.5828,20.5828,20.5828,20.5828,100
ESML,20-Aug-2020,27.29,27.3,27.04,27.2139,83300
ESNG,20-Aug-2020,55.32,55.4892,55.2101,55.4892,500
ESP,20-Aug-2020,17.14,17.685,17.102,17.13,1400
ETHO,20-Aug-2020,44.46,44.84,44,44.45,4900
EUDG,20-Aug-2020,27.4267,27.6001,27.4267,27.6001,4200
EUDV,20-Aug-2020,43.5191,43.8524,43.5191,43.8524,1200
EUFX,20-Aug-2020,42.915,42.915,42.915,42.915,200
EUM,20-Aug-2020,15.72,15.74,15.51,15.52,160200
EUO,20-Aug-2020,24.17,24.17,23.93,23.94,69300
EURL,20-Aug-2020,18.74,19.25,18.67,19.25,67700
EURZ,20-Aug-2020,21.6853,21.6853,21.6853,21.6853,0
EUSA,20-Aug-2020,61.14,61.565,61.14,61.5,2600
EUSB,20-Aug-2020,50.66,50.66,50.635,50.635,500
EUSC,20-Aug-2020,27.71,27.899,27.71,27.8629,1200
EVBN,20-Aug-2020,22.98,23.15,22.9,23.04,7800
EVI,20-Aug-2020,24.77,26.09,24.77,24.96,28600
EVM,20-Aug-2020,11.74,11.74,11.67,11.67,18200
EVV,20-Aug-2020,11.74,11.78,11.69,11.77,255900
EVX,20-Aug-2020,99.0831,99.0831,99.0552,99.0552,400
EVY,20-Aug-2020,13.34,13.34,13.21,13.21,8800
EWA,20-Aug-2020,20.58,20.825,20.57,20.81,1874200
EWC,20-Aug-2020,28.22,28.5999,28.22,28.53,1404300
EWCO,20-Aug-2020,27.361,27.4013,27.361,27.4013,200
EWD,20-Aug-2020,34.96,35.26,34.91,35.23,186600
EWG,20-Aug-2020,29.48,29.825,29.463,29.77,7543300
EWGS,20-Aug-2020,62.61,64.3768,62.61,64.3768,1200
EWH,20-Aug-2020,21.79,21.99,21.765,21.97,6254600
EWI,20-Aug-2020,25.64,25.87,25.61,25.84,359400
EWJ,20-Aug-2020,57.56,57.86,57.515,57.77,3280400
EWK,20-Aug-2020,17.43,17.5766,17.43,17.545,3200
EWL,20-Aug-2020,41.6,41.95,41.56,41.94,685700
EWM,20-Aug-2020,27.05,27.28,26.96,27.24,259100
EWMC,20-Aug-2020,62.73,62.73,62.065,62.24,2600
EWN,20-Aug-2020,34.82,35.08,34.81,35.05,82600
EWO,20-Aug-2020,15.36,15.45,15.36,15.445,4600
EWP,20-Aug-2020,23.01,23.21,22.98,23.15,440000
EWQ,20-Aug-2020,28.82,29.055,28.77,29,397900
EWRE,20-Aug-2020,26.455,26.595,26.455,26.4974,2500
EWS,20-Aug-2020,18.86,19.11,18.82,19.09,527200
EWSC,20-Aug-2020,50.45,50.5,50.45,50.4758,300
EWT,20-Aug-2020,43.39,43.97,43.22,43.95,6922300
EWU,20-Aug-2020,26.56,26.825,26.51,26.78,1560800
EWUS,20-Aug-2020,34.4,34.69,34.4,34.69,1400
EWV,20-Aug-2020,20.96,20.96,20.75,20.81,1400
EWW,20-Aug-2020,34.14,34.285,33.775,34.28,2411700
EWX,20-Aug-2020,44.11,44.74,43.99,44.67,33300
EWY,20-Aug-2020,61.56,62.655,61.46,62.45,5758600
EWZ,20-Aug-2020,28.9,30.08,28.76,29.92,41305000
EXI,20-Aug-2020,91.57,92.0717,91.57,92.0717,900
EYLD,20-Aug-2020,28.59,28.64,28.5,28.5966,4000
EZA,20-Aug-2020,36.45,36.95,36.245,36.88,298500
EZJ,20-Aug-2020,33.97,34.2501,33.97,34.2501,7400
EZM,20-Aug-2020,35.1,35.425,35.09,35.16,32900
EZU,20-Aug-2020,38.83,39.22,38.825,39.16,3393200
FAN,20-Aug-2020,17.19,17.2799,17.145,17.26,74700
FAS,20-Aug-2020,35.76,36.85,35.54,36.63,1858100
FAUG,20-Aug-2020,32.4978,32.558,32.4889,32.5213,4600
FAUS,20-Aug-2020,27.27,27.27,27.27,27.27,200
FAX,20-Aug-2020,4.12,4.13,4.0873,4.12,672000
FAZ,20-Aug-2020,15.02,15.1059,14.62,14.73,1859500
FBCG,20-Aug-2020,23.9,24.3199,23.8,24.29,86800
FBCV,20-Aug-2020,20.5,20.78,20.5,20.7107,14400
FBGX,20-Aug-2020,445,451.9997,445,451.9997,1000
FBND,20-Aug-2020,55,55.12,54.95,55.05,145400
FBT,20-Aug-2020,159.51,159.51,158,159,85300
FCG,20-Aug-2020,7.85,7.86,7.7,7.71,1282700
FCO,20-Aug-2020,7.46,7.5,7.37,7.41,37900
FCOM,20-Aug-2020,39.03,39.5699,38.9944,39.53,35000
FCOR,20-Aug-2020,56.28,56.4393,56.245,56.32,32100
FCPI,20-Aug-2020,24.78,24.78,24.78,24.78,100
FCTR,20-Aug-2020,25.05,25.55,25.05,25.51,125300
FDD,20-Aug-2020,10.94,11.05,10.94,11.03,38300
FDEM,20-Aug-2020,23.181,23.3699,23.17,23.345,3200
FDEV,20-Aug-2020,25.49,25.66,25.49,25.625,11500
FDG,20-Aug-2020,63.09,64.36,63.09,64.26,24900
FDHY,20-Aug-2020,54.11,54.2788,54.076,54.27,13500
FDIS,20-Aug-2020,61.47,62.26,61.335,62.07,185800
FDL,20-Aug-2020,26.83,26.8999,26.75,26.8,241700
FDLO,20-Aug-2020,39.23,39.51,39.0601,39.5,44600
FDM,20-Aug-2020,40.71,40.84,40.7,40.7294,12600
FDMO,20-Aug-2020,40.3,40.8,40.3,40.765,38600
FDN,20-Aug-2020,185.39,188.98,185.24,188.72,294300
FDRR,20-Aug-2020,32.59,32.85,32.59,32.85,23300
FDVV,20-Aug-2020,28.32,28.54,28.2512,28.5,96600
